taxid	string_name	new_taxid	ncbi_name	root
327079	Pseudozyma hubeiensis	327079	Pseudozyma hubeiensis	31
337075	Pyronema omphalodes	337075	Pyronema omphalodes	31
340170	Spathaspora passalidarum	340170	Spathaspora passalidarum	31
364733	Endocarpon pusillum	364733	Endocarpon pusillum	31
381046	Lachancea thermotolerans	381046	Lachancea thermotolerans	31
393283	Pestalotiopsis fici	393283	Pestalotiopsis fici	31
400682	Amphimedon queenslandica	400682	Amphimedon queenslandica	28
430498	Dactylellina haptotyla	430498	Dactylellina haptotyla	31
430998	Baudoinia compniacensis	430998	Baudoinia compniacensis	31
432096	Kazachstania africana	432096	Kazachstania africana	31
470704	Cladophialophora yegresii	470704	Cladophialophora yegresii	31
474922	Colletotrichum gloeosporioides	474922	Colletotrichum gloeosporioides	31
482537	Galeopterus variegatus	482537	Galeopterus variegatus	10
529818	Thecamonas trahens	529818	Thecamonas trahens	30
552467	Cryptococcus gattii	552467	Cryptococcus gattii VGIII	31
554065	Chlorella variabilis	554065	Chlorella variabilis	33
568076	Metarhizium robertsii	568076	Metarhizium robertsii	31
588596	Rhizophagus irregularis	588596	Rhizophagus irregularis	31
588726	Kazachstania naganishii	588726	Kazachstania naganishii	31
653948	Albugo laibachii	653948	Albugo laibachii	36
655981	Pseudogymnoascus destructans	655981	Pseudogymnoascus destructans	31
691883	Fonticula alba	691883	Fonticula alba	30
698440	Marssonina brunnea	698440	Marssonina brunnea	31
710243	Colletotrichum fioriniae	710243	Colletotrichum fioriniae	31
746128	Aspergillus fumigatus	746128	Aspergillus fumigatus	31
866546	Schizosaccharomyces cryophilus	866546	Schizosaccharomyces cryophilus	31
885580	Fukomys damarensis	885580	Fukomys damarensis	12
936053	Rhizopus delemar	936053	Rhizopus delemar	31
946362	Salpingoeca rosetta	946362	Salpingoeca rosetta	30
981085	Morus notabilis	981085	Morus notabilis	33
984962	Heterobasidion irregulare	984962	Heterobasidion irregulare	31
1005962	Ogataea parapolymorpha	1005962	Ogataea parapolymorpha	31
1026970	Nannospalax galili	1026970	Nannospalax galili	12
1041607	Wickerhamomyces ciferrii	1041607	Wickerhamomyces ciferrii	31
1047171	Zymoseptoria tritici	1047171	Zymoseptoria tritici	31
1048829	Paracoccidioides sp. lutzii	1048829	Paracoccidioides lutzii	31
1051613	Verticillium alfalfae	1051613	Verticillium alfalfae	31
1071379	Tetrapisispora blattae	1071379	Tetrapisispora blattae	31
1108849	Penicillium rubens	1108849	Penicillium rubens	31
1173701	Colletotrichum sublineola	1173701	Colletotrichum sublineola	31
1182553	Cladophialophora psammophila	1182553	Cladophialophora psammophila	31
1392244	Pseudozyma brasiliensis	1392244	Kalmanozyma brasiliensis	31
1561998	Caenorhabditis tropicalis	1561998	Caenorhabditis tropicalis	24
